Diesel,,,,
,,,,
Density,[kg/m^3],818.1,,
Temperature,[C],40,,
Dynamic Viscosity,[Pa s],0.00220887,,
,,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],,
0.462000966,-1.77999E-06,0.098242238,,
0.459830105,1.23529E-05,0.086725503,,
0.457659245,3.80825E-05,0.075171605,,
0.455488384,5.36818E-05,0.072822996,,
0.453317523,7.42632E-05,0.073942967,,
0.451146662,8.86289E-05,0.076220676,,
0.448975801,0.00010083,0.075947799,,
0.446804941,0.000129771,0.078128479,,
0.44463408,0.000138939,0.079099849,,
0.442463219,0.000157016,0.070017301,,
0.440292358,0.000185265,0.062176503,,
0.438121498,0.000192733,0.061345622,,
0.435950637,0.000212159,0.051043611,,
0.433779776,0.000239632,0.045810688,,
0.431608915,0.00024689,0.04589659,,
0.429438055,0.000259576,0.040412005,,
0.427267194,0.000279305,0.034138579,,
0.425096333,0.00029185,0.030453354,,
0.422925472,0.000320928,0.026475472,,
0.420754611,0.000334319,0.0253914,,
0.418583751,0.000350102,0.021592898,,
0.41641289,0.000376985,0.015205141,,
0.414242029,0.000381101,0.015078394,,
0.412071168,0.000413179,0.014824905,,
0.409900308,0.000426609,0.016549632,,
0.407729447,0.000436993,0.016933732,,
0.405558586,0.000468336,0.016937312,,
0.403387725,0.000478644,0.017152591,,
0.401216865,0.000491719,0.016375244,,
0.399046004,0.000502605,0.017673058,,
0.396875143,0.000534062,0.011389437,,
0.394704282,0.000545472,0.005170691,,
0.392533422,0.000557645,0.009452783,,
0.390362561,0.000589138,0.018433761,,
0.3881917,0.000598943,0.017479923,,
0.386020839,0.00061195,0.023267845,,
0.383849978,0.000622543,0.024601087,,
0.381679118,0.000654767,0.018396962,,
0.379508257,0.000667248,0.014244719,,
0.377337396,0.000680092,0.011506355,,
0.375166535,0.000712378,0.012514406,,
0.372995675,0.000722377,0.016222371,,
0.370824814,0.000735567,0.020451726,,
0.368653953,0.000745761,0.0246539,,
0.366483092,0.000777001,0.032583103,,
0.364312232,0.000789079,0.033888597,,
0.362141371,0.000801126,0.035323471,,
0.35997051,0.000832186,0.038748141,,
0.357799649,0.000842303,0.039428573,,
0.355628788,0.000855403,0.040080205,,
0.353457928,0.000865203,0.0405971,,
0.351287067,0.000896572,0.039344735,,
0.349116206,0.000908959,0.03791631,,
0.346945345,0.000920868,0.036709428,,
0.344774485,0.000952018,0.034483541,,
0.342603624,0.000962481,0.034282215,,
0.340432763,0.000975576,0.034648921,,
0.338261902,0.000985134,0.034554064,,
0.336091042,0.00101691,0.037096258,,
0.333920181,0.00102957,0.039162915,,
0.33174932,0.001041263,0.040723395,,
0.329578459,0.001072542,0.042751905,,
0.327407598,0.001083408,0.043161646,,
0.325236738,0.001096518,0.044708863,,
0.323065877,0.001105762,0.045242753,,
0.320895016,0.001137884,0.04669955,,
0.318724155,0.00115078,0.047195349,,
0.316553295,0.001162214,0.047752839,,
0.314382434,0.001193696,0.050408263,,
0.312211573,0.001204976,0.051911373,,
0.310040712,0.001218001,0.053954024,,
0.307869852,0.001250452,0.059794825,,
0.305698991,0.001259433,0.061639365,,
0.30352813,0.001272291,0.064173833,,
0.301357269,0.001283138,0.066235907,,
0.299186409,0.001314253,0.070989259,,
0.297015548,0.001325661,0.072309218,,
0.294844687,0.001338326,0.073772393,,
0.292673826,0.001370376,0.077019751,,
0.290502965,0.001379793,0.077777498,,
0.288332105,0.001392716,0.078922547,,
0.286161244,0.001403113,0.080289409,,
0.283990383,0.001434373,0.083537467,,
0.281819522,0.001445873,0.0843703,,
0.279648662,0.001457392,0.085378565,,
0.277477801,0.001489482,0.089294493,,
0.27530694,0.00149976,0.090804055,,
0.273136079,0.001511965,0.092542015,,
0.270965219,0.001542745,0.095941402,,
0.268794358,0.001552174,0.096356779,,
0.266623497,0.001565619,0.096397027,,
0.264452636,0.001594009,0.095991358,,
0.262281775,0.001601996,0.095247418,,
0.260110915,0.001615612,0.093645886,,
0.257940054,0.001624415,0.092640176,,
0.255769193,0.001654252,0.092411913,,
0.253598332,0.001668667,0.093031839,,
0.251427472,0.001679123,0.093444303,,
0.249256611,0.001708814,0.096726991,,
0.24708575,0.001722586,0.099014618,,
0.244914889,0.001735233,0.10110867,,
0.242744029,0.001763257,0.105843537,,
0.240573168,0.001774826,0.107852921,,
0.238402307,0.001789605,0.110421002,,
0.236231446,0.001819405,0.115196154,,
0.234060585,0.001827496,0.116300084,,
0.231889725,0.001842467,0.11835131,,
0.229718864,0.001854373,0.11998184,,
0.227548003,0.001882022,0.123191044,,
0.225377142,0.001894544,0.124397308,,
0.223206282,0.001909307,0.125821903,,
0.221035421,0.001938613,0.128672495,,
0.21886456,0.001947323,0.129531354,,
0.216693699,0.001962538,0.131039739,,
0.214522839,0.001973967,0.132170513,,
0.212351978,0.002001735,0.135520846,,
0.210181117,0.002014755,0.137345776,,
0.208010256,0.002029372,0.13939853,,
0.205839396,0.002058043,0.143433899,,
0.203668535,0.002066988,0.144695878,,
0.201497674,0.002082199,0.146843046,,
0.199326813,0.00209342,0.148457065,,
0.197155952,0.002120591,0.152861446,,
0.194985092,0.00213342,0.155212045,,
0.192814231,0.00214803,0.158141166,,
0.19064337,0.002178263,0.164167255,,
0.188472509,0.002188511,0.16596429,,
0.186301649,0.002208116,0.169275776,,
0.184130788,0.00222544,0.172515363,,
0.181959927,0.002230591,0.173128217,,
0.179789066,0.002254174,0.174330696,,
0.177618206,0.002278728,0.17545785,,
0.175447345,0.002284168,0.176124051,,
0.173276484,0.002305607,0.180233568,,
0.171105623,0.002328119,0.184557736,,
0.168934762,0.002333893,0.185827792,,
0.166763902,0.002357642,0.191274002,,
0.164593041,0.002372966,0.19481267,,
0.16242218,0.002389279,0.199427903,,
0.160251319,0.002404408,0.204471409,,
0.158080459,0.00242474,0.211088881,,
0.155909598,0.002439074,0.214451462,,
0.153738737,0.002451197,0.218457788,,
0.151567876,0.002469818,0.217045411,,
0.149397016,0.002490241,0.216169164,,
0.147226155,0.00250423,0.217649266,,
0.145055294,0.002521604,0.220511124,,
0.142884433,0.002535932,0.223804772,,
0.140713573,0.002553988,0.228276327,,
0.138542712,0.002573645,0.233209521,,
0.136371851,0.002586861,0.236388579,,
0.13420099,0.002603678,0.240564346,,
0.132030129,0.00261715,0.24406606,,
0.129859269,0.002636001,0.249551013,,
0.127688408,0.002653817,0.255133599,,
0.125517547,0.002667438,0.259707719,,
0.123346694,0.002684257,0.265535563,,
0.12117584,0.002704256,0.27270785,,
0.119004987,0.002716065,0.277112305,,
0.116834134,0.002732461,0.283514023,,
0.114663281,0.002745681,0.288946092,,
0.112492427,0.002763011,0.296557873,,
0.110321574,0.002780692,0.304686338,,
0.108150721,0.002793347,0.310782075,,
0.105979867,0.002809063,0.318658292,,
0.103809014,0.002820859,0.32476142,,
0.101638161,0.002838863,0.334845871,,
0.099467307,0.002854524,0.344190031,,
0.097296454,0.002866944,0.352132112,,
0.095125601,0.002882181,0.362545937,,
0.092954747,0.002899151,0.374886066,,
0.090783894,0.002909902,0.38337934,,
0.088613041,0.002923711,0.395017207,,
0.086442187,0.002934672,0.404944271,,
0.084271334,0.002949138,0.419527262,,
0.082100481,0.002962961,0.434731126,,
0.079929628,0.002972883,0.446976542,,
0.077758774,0.002984468,0.462905854,,
0.075587921,0.002992798,0.475374341,,
0.073417068,0.003004883,0.497035593,,
0.071246214,0.003014501,0.517345309,,
0.069075361,0.003021366,0.53490454,,
0.066904508,0.00302866,0.55945009,,
0.064733654,0.003035062,0.588704169,,
0.062562801,0.003037754,0.610783398,,
0.060391948,0.003039672,0.640340328,,
0.058221094,0.003039928,0.664838731,,
0.056050241,0.00303806,0.704630911,,
0.053879388,0.00303246,0.746767879,,
0.051708534,0.003023312,0.785117507,,
0.049537681,0.003003658,0.842927337,,
0.047366828,0.002971874,0.91805768,,
0.045195974,0.002941645,0.976234615,,
0.043025121,0.002887205,1.07147753,,
0.040854268,0.00283636,1.1551218,,
0.038683415,0.002697869,1.31995022,,
0.036512561,0.002538164,1.52055919,,
0.034341708,0.002296771,1.86224616,,
0.032170855,0.001646547,1.9996109,,
0.029999999,0.000875508,2.16030765,,
0.029999979,0.000875508,2.16030788,,
