Mercury,,,
,,,
Density,[kg/m^3],13319.6,
Temperature,[C],50,
Dynamic Viscosity,[Pa s],0.00141,
,,,
 Z [ m ], Pressure [ MPa ], Velocity [ m s^-1 ],
0.462000966,-2.96534E-05,0.102488369,
0.459830105,0.000201471,0.091049194,
0.457659245,0.000622264,0.079605423,
0.455488384,0.00087705,0.077475563,
0.453317523,0.001212829,0.079429671,
0.451146662,0.001447581,0.082345292,
0.448975801,0.001645389,0.081511565,
0.446804941,0.002115299,0.082919642,
0.44463408,0.002264336,0.08376231,
0.442463219,0.002558668,0.073402889,
0.440292358,0.003018381,0.06556315,
0.438121498,0.003139896,0.065206736,
0.435950637,0.003457223,0.054119784,
0.433779776,0.003904952,0.049893528,
0.431608915,0.00402302,0.050557692,
0.429438055,0.004231055,0.044036049,
0.427267194,0.004553569,0.037067946,
0.425096333,0.004758338,0.033211652,
0.422925472,0.005232489,0.029306723,
0.420754611,0.005450783,0.028276164,
0.418583751,0.00570805,0.024497092,
0.41641289,0.0061463,0.018257221,
0.414242029,0.006213447,0.018213745,
0.412071168,0.006736136,0.018364042,
0.409900308,0.006954923,0.020267317,
0.407729447,0.007123978,0.02074448,
0.405558586,0.007634809,0.02005579,
0.403387725,0.007803009,0.019823549,
0.401216865,0.008016487,0.017875331,
0.399046004,0.008194163,0.01836337,
0.396875143,0.008708213,0.010312486,
0.394704282,0.008894952,0.004829543,
0.392533422,0.009094217,0.012418543,
0.390362561,0.009608726,0.022324676,
0.3881917,0.00976858,0.020701744,
0.386020839,0.009980758,0.026673356,
0.383849978,0.010153502,0.027770151,
0.381679118,0.010678247,0.019985544,
0.379508257,0.010881262,0.015236546,
0.377337396,0.011090237,0.012518011,
0.375166535,0.011615526,0.015484915,
0.372995675,0.01177818,0.019690674,
0.370824814,0.011992631,0.024822818,
0.368653953,0.012158484,0.029506831,
0.366483092,0.012667112,0.038569871,
0.364312232,0.012863858,0.040220562,
0.362141371,0.013060084,0.041965947,
0.35997051,0.013566305,0.045810223,
0.357799649,0.013731313,0.046534181,
0.355628788,0.013944957,0.047316946,
0.353457928,0.014104752,0.04794693,
0.351287067,0.014616531,0.047282338,
0.349116206,0.014818731,0.046171021,
0.346945345,0.015013081,0.045285516,
0.344774485,0.015521297,0.043758966,
0.342603624,0.015691986,0.043650203,
0.340432763,0.015905691,0.043894224,
0.338261902,0.016061584,0.043901276,
0.336091042,0.016579738,0.046197053,
0.333920181,0.016786143,0.047963928,
0.33174932,0.016976787,0.049249016,
0.329578459,0.017486801,0.050893813,
0.327407598,0.017664004,0.051232547,
0.325236738,0.017877851,0.052528918,
0.323065877,0.018028677,0.052835863,
0.320895016,0.018552717,0.053119183,
0.318724155,0.018763125,0.053015187,
0.316553295,0.018949689,0.053043876,
0.314382434,0.019463345,0.054591663,
0.312211573,0.019647336,0.055786453,
0.310040712,0.01985977,0.057521731,
0.307869852,0.020388823,0.062892601,
0.305698991,0.020535162,0.064729825,
0.30352813,0.020744501,0.067281589,
0.301357269,0.020921154,0.06933403,
0.299186409,0.021428078,0.074190803,
0.297015548,0.021613978,0.075622611,
0.294844687,0.021820335,0.077231608,
0.292673826,0.022342581,0.080996797,
0.290502965,0.022496034,0.081955887,
0.288332105,0.022706473,0.083518632,
0.286161244,0.022875825,0.085215636,
0.283990383,0.023384579,0.089602672,
0.281819522,0.023571597,0.090922281,
0.279648662,0.023758926,0.0924206,
0.277477801,0.024281032,0.097584136,
0.27530694,0.024448328,0.099463858,
0.273136079,0.024646955,0.101673394,
0.270965219,0.025148327,0.106159344,
0.268794358,0.025302097,0.106858507,
0.266623497,0.025521345,0.107275143,
0.264452636,0.025984559,0.107545711,
0.262281775,0.026114943,0.106843933,
0.260110915,0.026337231,0.105242424,
0.257940054,0.02648093,0.104326427,
0.255769193,0.026968276,0.103364043,
0.253598332,0.0272038,0.10334935,
0.251427472,0.027374631,0.103318267,
0.249256611,0.027859403,0.105611965,
0.24708575,0.028084129,0.107514851,
0.244914889,0.028290512,0.10925395,
0.242744029,0.028747408,0.113496281,
0.240573168,0.028935833,0.115434684,
0.238402307,0.029176571,0.117909119,
0.236231446,0.029661907,0.122654252,
0.234060585,0.029793654,0.123828374,
0.231889725,0.030037442,0.126007393,
0.229718864,0.030231329,0.127739191,
0.227548003,0.030681796,0.131152987,
0.225377142,0.030885905,0.132439002,
0.223206282,0.031126557,0.133957401,
0.221035421,0.031604353,0.136943862,
0.21886456,0.031746388,0.137818694,
0.216693699,0.031994507,0.139354795,
0.214522839,0.032180883,0.140506282,
0.212351978,0.03263358,0.143931895,
0.210181117,0.032845814,0.145802677,
0.208010256,0.033084046,0.147907287,
0.205839396,0.033551268,0.152035594,
0.203668535,0.033696968,0.153321713,
0.201497674,0.033944752,0.155508757,
0.199326813,0.034127545,0.157152534,
0.197155952,0.034570098,0.161501229,
0.194985092,0.034779042,0.163778692,
0.192814231,0.035016999,0.166644812,
0.19064337,0.035509523,0.172644198,
0.188472509,0.035676573,0.174494147,
0.186301649,0.035996184,0.177964896,
0.184130788,0.036278635,0.181493849,
0.181959927,0.036362633,0.18213667,
0.179789066,0.036747135,0.183342889,
0.177618206,0.0371476,0.184659064,
0.175447345,0.037236296,0.185346365,
0.173276484,0.03758581,0.189464271,
0.171105623,0.037952773,0.193900168,
0.168934762,0.038046792,0.195217937,
0.166763902,0.038432986,0.200843945,
0.164593041,0.038682211,0.204494476,
0.16242218,0.038947251,0.209350213,
0.160251319,0.039192934,0.214657351,
0.158080459,0.039523516,0.221635908,
0.155909598,0.039756969,0.2254062,
0.153738737,0.039954566,0.229841068,
0.151567876,0.040259898,0.228850067,
0.149397016,0.040594764,0.228125602,
0.147226155,0.040823598,0.229732275,
0.145055294,0.04110745,0.232780054,
0.142884433,0.041341241,0.236270994,
0.140713573,0.041635875,0.241031736,
0.138542712,0.041956648,0.246283174,
0.136371851,0.04217235,0.249644697,
0.13420099,0.042446863,0.254012316,
0.132030129,0.042666808,0.257640243,
0.129859269,0.042974383,0.263270915,
0.127688408,0.043264963,0.268976092,
0.125517547,0.043487046,0.273627341,
0.123346694,0.043761313,0.279557139,
0.12117584,0.044087451,0.286864698,
0.119004987,0.044280015,0.291351169,
0.116834134,0.04454736,0.297881573,
0.114663281,0.044762902,0.303415149,
0.112492427,0.045045417,0.311168343,
0.110321574,0.045333691,0.319440067,
0.108150721,0.04554005,0.325624049,
